itemId,restaurantId,category,name,price,description,pictureUrl,popular,spicy
1,1,knowledge base Tasty models,Credit Card Account,9.09948382144125,Rem aut sit quo. Perferendis dolore vel libero. Iusto molestiae accusamus. Distinctio expedita perspiciatis porro ut dolorem dolor molestiae. Ut quibusdam esse quis eveniet. Repellendus cumque animi est ut nostrum dolorem dolor.,https://s.hdnux.com/photos/72/15/17/15350667/7/premium_landscape.jpg,false,false
2,2,system engine,Interactions,5.311718078315534,Numquam et animi. Quia eius qui tenetur saepe nobis enim impedit qui sit. Ut consequatur qui necessitatibus enim saepe molestias.,https://s.hdnux.com/photos/72/15/17/15351258/7/premium_landscape.jpg,false,false
3,3,architectures orange,Nevada Rubber,6.745700484548568,Laboriosam molestiae sunt in. Tempore temporibus hic nemo ipsa. Molestias odit et ad deserunt at.,https://s.hdnux.com/photos/72/15/17/15352160/7/premium_landscape.jpg,false,false
4,4,Chilean Peso Unidades de fomento Engineer,program,4.4779142376207455,Nulla error incidunt nostrum et et sunt. Animi ratione ipsa distinctio deserunt. Iste fugit enim sint molestiae voluptatem architecto omnis mollitia.,https://s.hdnux.com/photos/72/15/17/15346506/7/premium_landscape.jpg,true,false
5,5,Virgin Islands, U.S. compressing,Cross-group database reboot,9.580797214878247,Ut assumenda fugit vel corporis neque eligendi amet suscipit vel. Quis qui maiores eos nobis illo maxime molestiae consectetur molestiae. Est alias qui quis incidunt consequatur tenetur et ea. Vitae dolores beatae odit ipsa maiores. Quae sed earum et at incidunt nam vel.,https://s.hdnux.com/photos/72/15/17/15351870/7/premium_landscape.jpg,false,false
6,6,Belarus reintermediate,deploy Cambridgeshire,17.625077085312707,Magnam necessitatibus earum minus quidem est optio dolores nostrum et. Totam debitis iste. Autem quisquam ut dolorum vero voluptas repellat vero. Veritatis enim magni. Eveniet accusamus eos quasi explicabo dicta.,https://s.hdnux.com/photos/72/15/17/15352415/7/premium_landscape.jpg,false,false
7,7,Connecticut,fault-tolerant Pakistan,19.514261899941364,Rerum saepe voluptatum voluptatem et nemo vero eum sed odio. In accusantium nihil et sunt porro. Sed pariatur iusto. Doloremque rerum magni aut et est. Nam amet quidem dolores eum maiores.,https://s.hdnux.com/photos/72/15/17/15347660/7/premium_landscape.jpg,false,false
8,8,Cheese,Concrete Intelligent Steel Sausages Jordanian Dinar,18.66035272459662,Labore nam adipisci eligendi quisquam labore unde. Quo magnam minus temporibus non voluptatem voluptas explicabo nemo iure. Ea non aliquam qui consequatur dolore sunt minus mollitia ipsum. Aut repellendus animi ipsa mollitia labore. Earum et repellendus quae voluptatum veritatis excepturi non aut. At saepe dolorum occaecati non qui cum mollitia quidem.,https://s.hdnux.com/photos/72/15/17/15346506/7/premium_landscape.jpg,true,false
9,9,Borders,Director Fantastic Metal Salad Reverse-engineered,15.80902721420443,Magni quibusdam minus enim autem ea. Quo non doloribus sed officia est quod atque fuga consequatur. Odit dolorum veniam aspernatur placeat possimus. Minima laborum iste voluptatem sint incidunt officia nulla.,https://s.hdnux.com/photos/72/15/17/15351258/7/premium_landscape.jpg,true,true
10,10,moderator Baby,Strategist,18.014862252625875,Blanditiis qui enim quae optio et. Consequatur debitis eos dolores tenetur rerum beatae voluptate nobis rerum. Autem qui aperiam culpa. Tempora eum tempora sint voluptate mollitia voluptatem tempore debitis. Ducimus qui eligendi quod laborum saepe sint et similique deserunt. Sint sint voluptas atque sunt officia iure et.,https://s.hdnux.com/photos/72/15/17/15347660/7/premium_landscape.jpg,false,false
